Title,Author,Publication Year,DOI,Publication Title
Impact of physical activity on the risk of cardiovascular disease in middle-aged and older adults: EPIC Norfolk prospective population study.,"Lachman, Sangeeta; Boekholdt, S. Matthijs; Luben, Robert N.; Sharp, Stephen J.; Brage, Soren; Khaw, Kay-Tee; Peters, Ron Jg; Wareham, Nicholas J.",2018,10.1177/2047487317737628,European journal of preventive cardiology
Impact of individual and neighborhood dimensions of socioeconomic status on the prevalence of mild cognitive impairment over seven-year follow-up.,"Fernández-Blázquez, Miguel A.; Noriega-Ruiz, Bárbara; Ávila-Villanueva, Marina; Valentí-Soler, Meritxell; Frades-Payo, Belén; Del Ser, Teodoro; Gómez-Ramírez, Jaime",2021,10.1080/13607863.2020.1725803,Aging & mental health
Impact of COVID-19 Pandemic on Life-Space Mobility of Older Adults Living in Brazil: REMOBILIZE Study.,"Perracini, Monica R.; de Amorim, Juleimar Soares Coelho; Lima, Camila Astolphi; da Silva, Alexandre; Trombini-Souza, Francis; Pereira, Daniele Sirineu; Pelicioni, Paulo Henrique Silva; Duim, Etiene; Batista, Patricia Parreira; Dos Santos, Renato Barbosa; de Lima, Maria do Carmo Correia",2021,10.3389/fpubh.2021.643640,Frontiers in public health
"Imagining a brighter future: the effect of positive imagery training on mood, prospective mental imagery and emotional bias in older adults.","Murphy, Susannah E.; Clare O'Donoghue, M.; Drazich, Erin H. S.; Blackwell, Simon E.; Christina Nobre, Anna; Holmes, Emily A.",2015,10.1016/j.psychres.2015.07.059,Psychiatry research
Imaging cerebral atrophy: normal ageing to Alzheimer's disease.,"Fox, Nick C.; Schott, Jonathan M.",2004,10.1016/S0140-6736(04)15441-X,"Lancet (London, England)"
"Hyderabad Ocular Morbidity in Elderly Study (HOMES) - Rationale, Study Design and Methodology.","Marmamula, Srinivas; Barrenkala, Navya Rekha; Challa, Rajesh; Reddy K, Thirupathi; Yellapragada, Shashank; Brahmanandam M, Satya; Friedman, David S.; Khanna, Rohit C.",2020,10.1080/09286586.2019.1683867,Ophthalmic epidemiology
Housing and Care for Older Women in Australia.,"Byles, Julie E.; Princehorn, Emily M.; Forder, Peta M.; Rahman, Md Mijanur",2021,10.3389/fpubh.2021.566960,Frontiers in public health
Homocysteine levels and decline in physical function: MacArthur Studies of Successful Aging.,"Kado, Deborah M.; Bucur, Alexander; Selhub, Jacob; Rowe, John W.; Seeman, Teresa",2002,10.1016/s0002-9343(02)01269-x,The American journal of medicine
Higher testosterone levels are associated with less loss of lean body mass in older men.,"LeBlanc, Erin S.; Wang, Patty Y.; Lee, Christine G.; Barrett-Connor, Elizabeth; Cauley, Jane A.; Hoffman, Andrew R.; Laughlin, Gail A.; Marshall, Lynn M.; Orwoll, Eric S.",2011,10.1210/jc.2011-0312,The Journal of clinical endocrinology and metabolism
Higher serum dehydroepiandrosterone sulfate protects against the onset of depression in the elderly: Findings from the English Longitudinal Study of Aging (ELSA).,"Souza-Teodoro, Luis H.; de Oliveira, Cesar; Walters, Kate; Carvalho, Livia A.",2016,10.1016/j.psyneuen.2015.11.005,Psychoneuroendocrinology
Higher C-Reactive Protein Levels Predict Postoperative Delirium in Older Patients Undergoing Major Elective Surgery: A Longitudinal Nested Case-Control Study.,"Dillon, Simon T.; Vasunilashorn, Sarinnapha M.; Ngo, Long; Otu, Hasan H.; Inouye, Sharon K.; Jones, Richard N.; Alsop, David C.; Kuchel, George A.; Metzger, Eran D.; Arnold, Steven E.; Marcantonio, Edward R.; Libermann, Towia A.",2017,10.1016/j.biopsych.2016.03.2098,Biological psychiatry
High-density vs low-density lipoprotein cholesterol as the risk factor for coronary artery disease and stroke in old age.,"Weverling-Rijnsburger, Annelies W. E.; Jonkers, Iris J. A. M.; van Exel, Eric; Gussekloo, Jacobijn; Westendorp, Rudi G. J.",2003,10.1001/archinte.163.13.1549,Archives of internal medicine
"Heterogeneous Long-Term Trajectories of Dependency in Older Adults: The PAQUID Cohort, a Population-Based Study over 22 years.","Edjolo, Arlette; Dartigues, Jean-François; Pérès, Karine; Proust-Lima, Cécile",2020,10.1093/gerona/glaa057,"The journals of gerontology. Series A, Biological sciences and medical sciences"
Heterogeneity in healthy aging.,"Lowsky, David J.; Olshansky, S. Jay; Bhattacharya, Jay; Goldman, Dana P.",2014,10.1093/gerona/glt162,"The journals of gerontology. Series A, Biological sciences and medical sciences"
Hearts and minds: linking vascular rigidity and aerobic fitness with cognitive aging.,"Gauthier, Claudine Joëlle; Lefort, Muriel; Mekary, Saïd; Desjardins-Crépeau, Laurence; Skimminge, Arnold; Iversen, Pernille; Madjar, Cécile; Desjardins, Michèle; Lesage, Frédéric; Garde, Ellen; Frouin, Frédérique; Bherer, Louis; Hoge, Richard D.",2015,10.1016/j.neurobiolaging.2014.08.018,Neurobiology of aging
Heart rate variability as a marker of healthy ageing.,"Tan, Jason Por How; Beilharz, Jessica Elise; Vollmer-Conna, Uté; Cvejic, Erin",2019,10.1016/j.ijcard.2018.08.005,International journal of cardiology
Hearing and Quality-of-Life Outcomes After Cochlear Implantation in Adult Hearing Aid Users 65 Years or Older: A Secondary Analysis of a Nonrandomized Clinical Trial.,"Wick, Cameron C.; Kallogjeri, Dorina; McJunkin, Jonathan L.; Durakovic, Nedim; Holden, Laura K.; Herzog, Jacques A.; Firszt, Jill B.; Buchman, Craig A.",2020,10.1001/jamaoto.2020.1585,JAMA otolaryngology-- head & neck surgery
Healthy lifestyle and normal waist circumference are associated with a lower 5-year risk of type 2 diabetes in middle-aged and elderly individuals: Results from the  healthy aging longitudinal study in Taiwan (HALST).,"Chen, Chu-Chih; Liu, Kiang; Hsu, Chih-Chen; Chang, Hsing-Yi; Chung, Hsiao-Chun; Liu, Jih-Shin; Liu, Yo-Hann; Tsai, Tsung-Lung; Liaw, Wen-Jin; Lin, I.-Ching; Wu, Hsi-Wen; Juan, Chung-Chou; Chiu, Hou-Chang; Lee, Marion M.; Hsiung, Chao A.",2017,10.1097/MD.0000000000006025,Medicine
"Healthy aging in neighborhoods of diversity across the life span (HANDLS): overcoming barriers to implementing a longitudinal, epidemiologic, urban study of  health, race, and socioeconomic status.","Evans, Michele K.; Lepkowski, James M.; Powe, Neil R.; LaVeist, Thomas; Kuczmarski, Marie Fanelli; Zonderman, Alan B.",2010,"",Ethnicity & disease
Healthy aging and preclinical dementia: the United States-Israel Longitudinal Database project.,"Khachaturian, Ara S.; Chapman, Joab; Farrer, Lindsay; Friedland, Robert P.; Ebstein, Richard; Grossman, Iris; Hendler, Talma; Hermann, Bruce; Inzelberg, Rivka; Johnson, Sterling; Khachaturian, Zaven S.; Lichter-Shapira, Irit; Makeeva, Oksana; Mayrl, Robin; Mizrahi, Eli; Roses, Allen D.; Sager, Mark; Fraifeld, Shifra",2010,10.1016/j.jalz.2010.10.001,Alzheimer's & dementia : the journal of the Alzheimer's Association
"Health, social and lifestyle factors in entry to residential aged care: an Australian longitudinal analysis.","Kendig, Hal; Browning, Colette; Pedlow, Robert; Wells, Yvonne; Thomas, Shane",2010,10.1093/ageing/afq016,Age and ageing
"Health, Security and Participation: A Structural Relationship Modeling among the Three Pillars of Active Ageing in China.","Yang, Yinan; Meng, Yingying; Dong, Pengtao",2020,10.3390/ijerph17197255,International journal of environmental research and public health
Health status and 6 years survival of 552 90+ Italian sib-ships recruited within the EU Project GEHA (GEnetics of Healthy Ageing).,"Cevenini, E.; Cotichini, R.; Stazi, M. A.; Toccaceli, V.; Palmas, M. G.; Capri, M.; De Rango, F.; Dato, S.; Passarino, G.; Jeune, B.; Franceschi, C.",2014,10.1007/s11357-013-9604-1,"Age (Dordrecht, Netherlands)"
Health Benefits of Daily Walking on Mortality Among Younger-Elderly Men With or Without Major Critical Diseases in the New Integrated Suburban Seniority  Investigation Project: A Prospective Cohort Study.,"Zhao, Wenjing; Ukawa, Shigekazu; Kawamura, Takashi; Wakai, Kenji; Ando, Masahiko; Tsushita, Kazuyo; Tamakoshi, Akiko",2015,10.2188/jea.JE20140190,Journal of epidemiology
Happy older people live longer.,"Chei, Choy-Lye; Lee, June May-Ling; Ma, Stefan; Malhotra, Rahul",2018,10.1093/ageing/afy128,Age and ageing
"Habitual Nut Exposure, Assessed by Dietary and Multiple Urinary Metabolomic Markers, and Cognitive Decline in Older Adults: The InCHIANTI Study.","Rabassa, Montserrat; Zamora-Ros, Raul; Palau-Rodriguez, Magalí; Tulipani, Sara; Miñarro, Antonio; Bandinelli, Stefania; Ferrucci, Luigi; Cherubini, Antonio; Andres-Lacueva, Cristina",2020,10.1002/mnfr.201900532,Molecular nutrition & food research
Greater progression of athletic performance in older Masters athletes.,"Akkari, Amanda; Machin, Daniel; Tanaka, Hirofumi",2015,10.1093/ageing/afv023,Age and ageing
Grandparenting predicts late-life cognition: Results from the Women's Healthy Ageing Project.,"Burn, Katherine; Szoeke, Cassandra",2015,10.1016/j.maturitas.2015.03.013,Maturitas
Going Online to Stay Connected: Online Social Participation Buffers the Relationship Between Pain and Depression.,"Ang, Shannon; Chen, Tuo-Yu",2019,10.1093/geronb/gby109,"The journals of gerontology. Series B, Psychological sciences and social sciences"
"Genome-wide admixture and association study of serum iron, ferritin, transferrin saturation and total iron binding capacity in African Americans.","Li, Jin; Lange, Leslie A.; Duan, Qing; Lu, Yurong; Singleton, Andrew B.; Zonderman, Alan B.; Evans, Michele K.; Li, Yun; Taylor, Herman A.; Willis, Monte S.; Nalls, Mike; Wilson, James G.; Lange, Ethan M.",2015,10.1093/hmg/ddu454,Human molecular genetics
[Genetic profiles of longevity and healthy cognitive aging in nonagenarians from the Basque Country].,"Elcoroaristizabal Martín, Xabier; Gómez Busto, Fernando; Artaza Artabe, Iñaki; Barroso Niso, Julia; Goicoechea Boyer, Javier; García de Vicuña, Víctor Ortiz de Murua; Martínez de Pancorbo, Marian",2011,10.1016/j.regg.2011.04.005,Revista espanola de geriatria y gerontologia
Generalizing age effects on brain structure and cognition: A two-study comparison approach.,"Jockwitz, Christiane; Mérillat, Susan; Liem, Franziskus; Oschwald, Jessica; Amunts, Katrin; Caspers, Svenja; Jäncke, Lutz",2019,10.1002/hbm.24524,Human brain mapping
"Gender difference and correlation between sexuality, thyroid hormones, cognitive, and physical functions in elderly fit.","Emerenziani, G. P.; Izzo, G.; Vaccaro, M. G.; Quattrone, A.; Lenzi, A.; Aversa, A.",2019,10.1007/s40618-018-0974-1,Journal of endocrinological investigation
"Ganoderma lucidum (""""Lingzhi""""), a Chinese medicinal mushroom: biomarker responses in a controlled human supplementation study.","Wachtel-Galor, Sissi; Tomlinson, Brian; Benzie, Iris F. F.",2004,10.1079/BJN20041039,The British journal of nutrition
Functional status in the young-old: establishing a working prototype of an extended-instrumental activities of daily living scale.,"Fieo, Robert; Manly, Jennifer J.; Schupf, Nicole; Stern, Yaakov",2014,10.1093/gerona/glt167,"The journals of gerontology. Series A, Biological sciences and medical sciences"
Functional segregation loss over time is moderated by APOE genotype in healthy elderly.,"Ng, Kwun Kei; Qiu, Yingwei; Lo, June Chi-Yan; Koay, Evelyn Siew-Chuan; Koh, Woon-Puay; Chee, Michael Wei-Liang; Zhou, Juan",2018,10.1002/hbm.24036,Human brain mapping
Functional dedifferentiation of associative resting state networks in older adults - A longitudinal study.,"Malagurski, Brigitta; Liem, Franziskus; Oschwald, Jessica; Mérillat, Susan; Jäncke, Lutz",2020,10.1016/j.neuroimage.2020.116680,NeuroImage
Friendships that money can buy: financial security protects health in retirement by enabling social connectedness.,"Cruwys, Tegan; Haslam, Catherine; Steffens, Niklas K.; Haslam, S. Alexander; Fong, Polly; Lam, Ben C. P.",2019,10.1186/s12877-019-1281-1,BMC geriatrics
Frequency of Conditions Associated with Declines in Intrinsic Capacity According to a Screening Tool in the Context of Integrated Care for Older People.,"González-Bautista, E.; de Souto Barreto, P.; Virecoulon Giudici, K.; Andrieu, S.; Rolland, Y.; Vellas, B.",2021,10.14283/jfa.2020.42,The Journal of frailty & aging
Favourable changes in economic well-being and self-rated health among the elderly.,"Brenes-Camacho, Gilbert",2011,10.1016/j.socscimed.2011.02.027,Social science & medicine (1982)
Fall-related sub-acute and non-acute care and hospitalised rehabilitation episodes of care: what is the injury burden?,"Mitchell, Rebecca J.; Close, Jacqui; Cameron, Ian D.; Lord, Stephen",2013,10.1071/AH12031,Australian health review : a publication of the Australian Hospital Association
Factors associated with accessing aged care services in Australia after approval for services: Findings from the historical cohort of the Registry of Senior Australians.,"Inacio, Maria C.; Amare, Azmeraw T.; Whitehead, Craig; Bray, Sarah C. E.; Corlis, Megan; Visvanathan, Renuka; Wesselingh, Steve",2020,10.1111/ajag.12760,Australasian journal on ageing
"Factors affecting the survival probability of becoming a centenarian for those aged 70, based on the human mortality database: income, health expenditure, telephone,  and sanitation.","Kim, Jong In; Kim, Gukbin",2014,10.1186/1471-2318-14-113,BMC geriatrics
Exploring the acceptability and feasibility of conducting a large longitudinal population-based study in Canada.,"Kirkland, Susan A.; Raina, Parminder S.; Wolfson, Christina; Strople, Geoff; Kits, Olga; Dukeshire, Steven; Angus, Camille L.; Szala-Meneok, Karen; Uniat, Jennifer; Keshavarz, Homa; Furlini, Linda; Pelletier, Amélie",2009,10.1017/S0714980809990043,Canadian journal on aging = La revue canadienne du vieillissement
Exceptionally Long-Lived Individuals (ELLI) Demonstrate Slower Aging Rate Calculated by DNA Methylation Clocks as Possible Modulators for Healthy Longevity.,"Gutman, Danielle; Rivkin, Elina; Fadida, Almog; Sharvit, Lital; Hermush, Vered; Rubin, Elad; Kirshner, Dani; Sabin, Irina; Dwolatzky, Tzvi; Atzmon, Gil",2020,10.3390/ijms21020615,International journal of molecular sciences
"Everything under control? The effects of age, gender, and education on trajectories of perceived control in a nationally representative German sample.","Specht, Jule; Egloff, Boris; Schmukle, Stefan C.",2013,10.1037/a0028243,Developmental psychology
Evaluations of a Previous Day as a Pathway Between Personality and Healthy Cognitive Aging.,"Sutin, Angelina R.; Stephan, Yannick; Aschwanden, Damaris; Luchetti, Martina; Strickhouser, Jason E.; Terracciano, Antonio",2020,10.1177/0898264319843451,Journal of aging and health
Evaluation of the Relative Validity of the Short Diet Questionnaire for Assessing Usual Consumption Frequencies of Selected Nutrients and Foods.,"Shatenstein, Bryna; Payette, Hélène",2015,10.3390/nu7085282,Nutrients
Evaluation of a Computer-Tailored Healthy Ageing Intervention to Promote Physical Activity among Single Older Adults with a Chronic Disease.,"Boekhout, Janet M.; Berendsen, Brenda A. J.; Peels, Denise A.; Bolman, Catherine A. W.; Lechner, Lilian",2018,10.3390/ijerph15020346,International journal of environmental research and public health
Enhanced registered nurse care coordination with sensor technology: Impact on length of stay and cost in aging in place housing.,"Rantz, Marilyn; Lane, Kari; Phillips, Lorraine J.; Despins, Laurel A.; Galambos, Colleen; Alexander, Gregory L.; Koopman, Richelle J.; Hicks, Lanis; Skubic, Marjorie; Miller, Steven J.",2015,10.1016/j.outlook.2015.08.004,Nursing outlook
"Energy, Macronutrients, Dietary Fibre and Salt Intakes in Older Adults in Ireland: Key Sources and Compliance with Recommendations.","Kehoe, Laura; Walton, Janette; McNulty, Breige A.; Nugent, Anne P.; Flynn, Albert",2021,10.3390/nu13030876,Nutrients
Electrocardiographic abnormalities in centenarians and octogenarians: a case-matched study.,"Moubarak, Ghassan; Algalarrondo, Vincent; Badenco, Nicolas; Guiot, Aurélie; Guillausseau, Pierre-Jean; Bergmann, Jean-François; Bardin, Thomas; Leenhardt, Antoine; Solal, Alain Cohen",2012,10.1111/j.1542-474X.2012.00532.x,"Annals of noninvasive electrocardiology : the official journal of the International Society for Holter and Noninvasive Electrocardiology, Inc"
Egomotion and vection in young and elderly adults.,"Haibach, Pamela; Slobounov, Semyon; Newell, Karl",2009,10.1159/000235816,Gerontology
Effects of Two Web-Based Interventions and Mediating Mechanisms on Stage of Change Regarding Physical Activity in Older Adults.,"Ratz, Tiara; Lippke, Sonia; Muellmann, Saskia; Peters, Manuela; Pischke, Claudia R.; Meyer, Jochen; Bragina, Inna; Voelcker-Rehage, Claudia",2020,10.1111/aphw.12174,Applied psychology. Health and well-being
Effects of physical activity on vasomotor symptoms: examination using objective and subjective measures.,"Elavsky, Steriani; Gonzales, Joaquin U.; Proctor, David N.; Williams, Nancy; Henderson, Victor W.",2012,10.1097/gme.0b013e31824f8fb8,"Menopause (New York, N.Y.)"
Effects of age and non-oropharyngeal proprioceptive and exteroceptive sensation on the magnitude of anticipatory mouth opening during eating.,"Shune, S. E.; Moon, J. B.",2016,10.1111/joor.12419,Journal of oral rehabilitation
"Effective coverage for hypertension treatment among middle-aged adults and the older population in China, 2011 to 2013: A nationwide longitudinal study.","Zhao, Yang; Mahal, Ajay Singh; Tang, Shenglan; Haregu, Tilahun Nigatu; Oldenburg, Brian",2020,10.7189/jogh.10.010805,Journal of global health
Effect of Social Participation on the Physical Functioning and Depression of Empty-Nest Elderly in China: Evidence from the China Health and Retirement  Longitudinal Survey (CHARLS).,"Su, Dai; Chen, Zhifang; Chang, Jingjing; Gong, Guangwen; Guo, Dandan; Tan, Min; Zhang, Yunfan; Liu, Yanchen; Chen, Xinlan; Chen, Xinlin; Chen, Yingchun",2020,10.3390/ijerph17249438,International journal of environmental research and public health
Effect of race and predictors of socioeconomic status on diet quality in the HANDLS Study sample.,"Raffensperger, Sarah; Kuczmarski, Marie Fanelli; Hotchkiss, Lawrence; Cotugna, Nancy; Evans, Michele K.; Zonderman, Alan B.",2010,10.1016/s0027-9684(15)30711-2,Journal of the National Medical Association
Education level predicts retrospective metamemory accuracy in healthy aging and Alzheimer's disease.,"Szajer, Jacquelyn; Murphy, Claire",2013,10.1080/13803395.2013.844771,Journal of clinical and experimental neuropsychology
ECG findings in elderly.,"Devkota, Krishna Chandra; Thapamagar, Suman Bahadur; Bista, Bidesh; Malla, Sharmila",2006,"",Nepal Medical College journal : NMCJ
"Eating and healthy ageing: a longitudinal study on the association between food consumption, memory loss and its comorbidities.","Xu, Xiaoyue; Ling, Mabel; Inglis, Sally C.; Hickman, Louise; Parker, Deborah",2020,10.1007/s00038-020-01337-y,International journal of public health
"Early-life socioeconomic circumstances explain health differences in old age, but not their evolution over time.","Cheval, Boris; Orsholits, Dan; Sieber, Stefan; Stringhini, Silvia; Courvoisier, Delphine; Kliegel, Matthias; Boisgontier, Matthieu P.; Cullati, Stephane",2019,10.1136/jech-2019-212110,Journal of epidemiology and community health
"Early-life conditions and health at older ages: The mediating role of educational attainment, family and employment trajectories.","Arpino, Bruno; Gumà, Jordi; Julià, Albert",2018,10.1371/journal.pone.0195320,PloS one
Doing it my way.,"Skemp, Lisa E.; Maas, Meridean L.; Umbarger-Mackey, Michelle",2014,10.1093/geront/gnt052,The Gerontologist
Does social participation improve self-rated health in the older population? A quasi-experimental intervention study.,"Ichida, Yukinobu; Hirai, Hiroshi; Kondo, Katsunori; Kawachi, Ichiro; Takeda, Tokunori; Endo, Hideki",2013,10.1016/j.socscimed.2013.05.006,Social science & medicine (1982)
Does healthy aging affect the hemispheric activation balance during paced index-to-thumb opposition task? An fMRI study.,"Naccarato, M.; Calautti, C.; Jones, P. S.; Day, D. J.; Carpenter, T. A.; Baron, J.-C.",2006,10.1016/j.neuroimage.2006.05.003,NeuroImage
Do successful agers live longer? The Vitality 90+ study.,"Nosraty, Lily; Enroth, Linda; Raitanen, Jani; Hervonen, Antti; Jylhä, Marja",2015,10.1177/0898264314535804,Journal of aging and health
[Do children of long-lived parents age more successfully?].,"Frederiksen, Henrik; McGue, Matt; Jeune, Bernard; Gaist, David; Nybo, Hanne; Skytthe, Axel E.; Vaupel, James W.; Christensen, Kaare",2002,"",Ugeskrift for laeger
Distinct Trajectories of Individual Physical Performance Measures Across 9 Years in 60- to 70-Year-Old Adults.,"Hoekstra, Trynke; Rojer, Anna Galina Maria; van Schoor, Natasja M.; Maier, Andrea Britta; Pijnappels, Mirjam",2020,10.1093/gerona/glaa045,"The journals of gerontology. Series A, Biological sciences and medical sciences"
Discovering markers of healthy aging: a prospective study in a Danish male birth cohort.,"Zarnani, Kiyana; Nichols, Thomas E.; Alfaro-Almagro, Fidel; Fagerlund, Birgitte; Lauritzen, Martin; Rostrup, Egill; Smith, Stephen M.",2019,10.18632/aging.102151,Aging
Dimensions of Religious Involvement Represent Positive Pathways in Cognitive Aging.,"Kraal, A. Zarina; Sharifian, Neika; Zaheed, Afsara B.; Sol, Ketlyne; Zahodne, Laura B.",2019,10.1177/0164027519862745,Research on aging
Diffusion tensor image segmentation of the cerebrum provides a single measure of cerebral small vessel disease severity related to cognitive change.,"Williams, Owen A.; Zeestraten, Eva A.; Benjamin, Philip; Lambert, Christian; Lawrence, Andrew J.; Mackinnon, Andrew D.; Morris, Robin G.; Markus, Hugh S.; Charlton, Rebecca A.; Barrick, Thomas R.",2017,10.1016/j.nicl.2017.08.016,NeuroImage. Clinical
Differential aging of cerebral white matter in middle-aged and older adults: A seven-year follow-up.,"Bender, Andrew R.; Völkle, Manuel C.; Raz, Naftali",2016,10.1016/j.neuroimage.2015.10.030,NeuroImage
Dietary Sodium/Potassium Intake Does Not Affect Cognitive Function or Brain Imaging Indices.,"Nowak, Kristen L.; Fried, Linda; Jovanovich, Anna; Ix, Joachim; Yaffe, Kristine; You, Zhiying; Chonchol, Michel",2018,10.1159/000486580,American journal of nephrology
Dietary Protein and Preservation of Physical Functioning Among Middle-Aged and Older Adults in the Framingham Offspring Study.,"Mustafa, Jabed; Ellison, R. Curtis; Singer, Martha R.; Bradlee, M. Loring; Kalesan, Bindu; Holick, Michael F.; Moore, Lynn L.",2018,10.1093/aje/kwy014,American journal of epidemiology
Dietary Patterns Associated with Lower 10-Year Atherosclerotic Cardiovascular Disease Risk among Urban African-American and White Adults Consuming Western Diets.,"Fanelli Kuczmarski, Marie; Bodt, Barry A.; Stave Shupe, Emily; Zonderman, Alan B.; Evans, Michele K.",2018,10.3390/nu10020158,Nutrients
Dietary patterns and relationship to obesity-related health outcomes and mortality in adults 75 years of age or greater.,"Hsiao, P. Y.; Mitchell, D. C.; Coffman, D. L.; Craig Wood, G.; Hartman, T. J.; Still, C.; Jensen, G. L.",2013,10.1007/s12603-013-0014-y,"The journal of nutrition, health & aging"
Dietary Habits and Risk of Kidney Function Decline in an Urban Population.,"Liu, Yang; Kuczmarski, Marie Fanelli; Miller, Edgar R. 3rd; Nava, M. Berenice; Zonderman, Alan B.; Evans, Michele K.; Powe, Neil R.; Crews, Deidra C.",2017,10.1053/j.jrn.2016.08.007,Journal of renal nutrition : the official journal of the Council on Renal Nutrition of the National Kidney Foundation
Dietary and supplemental antioxidant intake and risk of major adverse cardiovascular events in older men: The concord health and ageing in men project.,"Das, Arpita; Cumming, Robert G.; Naganathan, Vasi; Blyth, Fiona; Le Couteur, David G.; Handelsman, David J.; Waite, Louise M.; Ribeiro, Rosilene V. R.; Simpson, Stephen J.; Hirani, Vasant",2021,10.1016/j.numecd.2020.11.032,"Nutrition, metabolism, and cardiovascular diseases : NMCD"
Diet and Nutrition Risk Affect Mobility and General Health in Osteoarthritis: Data from the Canadian Longitudinal Study on Aging.,"Chopp-Hurley, Jaclyn N.; Wiebenga, Emily G.; Keller, Heather H.; Maly, Monica R.",2020,10.1093/gerona/glz277,"The journals of gerontology. Series A, Biological sciences and medical sciences"
Diagnostic and prognostic value of serum NfL and p-Tau(181) in frontotemporal lobar degeneration.,"Benussi, Alberto; Karikari, Thomas K.; Ashton, Nicholas; Gazzina, Stefano; Premi, Enrico; Benussi, Luisa; Ghidoni, Roberta; Rodriguez, Juan Lantero; Emeršič, Andreja; Simrén, Joel; Binetti, Giuliano; Fostinelli, Silvia; Giunta, Marcello; Gasparotti, Roberto; Zetterberg, Henrik; Blennow, Kaj; Borroni, Barbara",2020,10.1136/jnnp-2020-323487,"Journal of neurology, neurosurgery, and psychiatry"
Development of a Food Group-Based Diet Score and Its Association with Bone Mineral Density in the Elderly: The Rotterdam Study.,"de Jonge, Ester A. L.; Kiefte-de Jong, Jessica C.; de Groot, Lisette C. P. G. M.; Voortman, Trudy; Schoufour, Josje D.; Zillikens, M. Carola; Hofman, Albert; Uitterlinden, André G.; Franco, Oscar H.; Rivadeneira, Fernando",2015,10.3390/nu7085317,Nutrients
"Determinants, MRI correlates, and prognosis of mild cognitive impairment: the Rotterdam Study.","de Bruijn, Renée F. A. G.; Akoudad, Saloua; Cremers, Lotte G. M.; Hofman, Albert; Niessen, Wiro J.; van der Lugt, Aad; Koudstaal, Peter J.; Vernooij, Meike W.; Ikram, M. Arfan",2014,10.3233/JAD-132558,Journal of Alzheimer's disease : JAD
Determinants of change in oral health-related quality of life over 7 years among older Japanese.,"Enoki, K.; Ikebe, K.; Matsuda, K.-I.; Yoshida, M.; Maeda, Y.; Thomson, W. M.",2013,10.1111/joor.12031,Journal of oral rehabilitation
Determinants of cardiovascular disease and other non-communicable diseases in Central and Eastern Europe: rationale and design of the HAPIEE study.,"Peasey, Anne; Bobak, Martin; Kubinova, Ruzena; Malyutina, Sofia; Pajak, Andrzej; Tamosiunas, Abdonas; Pikhart, Hynek; Nicholson, Amanda; Marmot, Michael",2006,10.1186/1471-2458-6-255,BMC public health
"Detection of structural changes of the human brain in longitudinally acquired MR images by deformation field morphometry: methodological analysis, validation and  application.","Pieperhoff, P.; Südmeyer, M.; Hömke, L.; Zilles, K.; Schnitzler, A.; Amunts, K.",2008,10.1016/j.neuroimage.2008.07.031,NeuroImage
Detection of asymptomatic cerebral microbleeds: a comparative study at 1.5 and 3.0 T.,"Stehling, Christoph; Wersching, Heike; Kloska, Stephan P.; Kirchhof, Paulus; Ring, Janine; Nassenstein, Isabelle; Allkemper, Thomas; Knecht, Stefan; Bachmann, Rainald; Heindel, Walter",2008,10.1016/j.acra.2008.01.013,Academic radiology
Design and baseline characteristics of the Biomarkers Of Risk In Colorectal Cancer (BORICC) Follow-Up study: A 12+ years follow-up.,"Malcomson, F. C.; Breininger, S. P.; ElGendy, K.; Joel, A.; Ranathunga, Rmtk; Hill, T. R.; Bradburn, D. Michael; Turnbull, D. M.; Greaves, L. C.; Mathers, J. C.",2019,10.1177/0260106019866963,Nutrition and health
Depression in type 1 diabetes and risk of dementia.,"Gilsanz, Paola; Schnaider Beeri, Michal; Karter, Andrew J.; Quesenberry, Charles P. Jr; Adams, Alyce S.; Whitmer, Rachel A.",2019,10.1080/13607863.2018.1455167,Aging & mental health
Degree and centrality-based approaches in network-based variable selection: Insights from the Singapore Longitudinal Aging Study.,"Valenzuela, Jesus Felix Bayta; Monterola, Christopher; Tong, Victor Joo Chuan; Fülöp, Tamàs; Ng, Tze Pin; Larbi, Anis",2019,10.1371/journal.pone.0219186,PloS one
Defining successful aging: the importance of including cognitive function over time.,"Fiocco, Alexandra J.; Yaffe, Kristine",2010,10.1001/archneurol.2010.130,Archives of neurology
Data set of healthy old people assessed for three walking conditions using accelerometric and opto-electronic methods.,"Gillain, S.; Boutaayamou, M.; Dardenne, N.; Schwartz, C.; Demonceau, M.; Gerontitis, C.; Depierreux, F.; Salmon, E.; Garraux, G.; Bruyère, O.; Brüls, O.; Croisier, J.-L.; Petermans, J.",2017,10.1007/s40520-017-0730-y,Aging clinical and experimental research
Dairy product consumption and its association with metabolic disturbance in a prospective study of urban adults.,"Beydoun, May A.; Fanelli-Kuczmarski, Marie T.; Beydoun, Hind A.; Dore, Greg A.; Canas, Jose A.; Evans, Michele K.; Zonderman, Alan B.",2018,10.1017/S0007114518000028,The British journal of nutrition
Daily and longitudinal associations of out-of-home time with objectively measured physical activity and sedentary behavior among middle-aged and older adults.,"Harada, Kazuhiro; Masumoto, Kouhei; Kondo, Narihiko",2019,10.1007/s10865-018-9976-x,Journal of behavioral medicine
